,char_line
31977,"jerry: jean-paul, i asked you down here this morning because i'm concerned. concerned that tomorrow is perhaps the biggest race of your entire career. and the person with whom you have chosen to stay... is uh..."
31979,"jerry: i'm saying ""get the hell outta there""! let me put you in a hotel. you'll be comfortable, you'll be near the starting line, and most importantly... you'll have a wake-up call, jean-paul! a wake-up call!"
31980,jean-paul: wake-up call...
31981,"jerry: these people never fail. they sit in a room with a big clock all night long, just waitin' to make that call! (george comes in)"
31982,"jean-paul: no, i will stay with elaine. it would be rude."
31983,"george: hey, you bastards."
31984,"jerry: hey, how was the meeting?"
31985,george: i really like those sons of bitches.
31986,jerry: sons of bitches?
31987,"george: yeah! that's how they talk. you know, everyone's either a bastard or a son of a bitch. yeah, it's like uh...""boy, that son of a bitch box can really hit, uh?!"" (laughs)"
31988,jean-paul: really?!
31989,"george: yeah, yeah. that's how they talk in the major league. (laughs) (kramer walks in wearing winter coat, scarf, cap, gloves... they all look at him very surprised)"
31990,kramer: heeeeey...
31991,jerry: how many sweaters you got on?
31992,"kramer: oh...four. (to waitress) yeah, could i have a cup o'tea? boiling hot."
31993,george: what's goin'on?
31994,kramer: i fell asleep in the hot tub and the heat pump broke. water went down to 58 degrees. i can't get my core temperature back up!
31995,jerry: your core temperature?
31996,"kramer: (to jean-paul) here, feel my hand. (takes off glove) yeah, feel."
31997,"jean-paul: phew... this son of a bitch is ice-cold. (smiles) (inside an airplane - the 3 men) (they are calling george at the yankee stadium, while they're drinking and laughing in the plane)"
31999,"george: (laughs) yeah, it's me. is this clayton?"
32000,george: what are they doin' lettin' you bastards on an airplane? don't they know that's against faa regulation?
32001,george: listen. i want you guys to send along those agreements the minute you land. our boys can't wait to kick your butts!
32002,george: you tell that son of a bitch no yankee is ever comin' to houston. not as long as you bastards are running things.
32003,"george: (mr.wilhelm comes in and hears george yelling) you tell that son of a bitch no yankee is ever comin' to houston! not as long as you bastards are running things! (mr.wilhelm comes running, takes the phone from george and hangs up)"
32004,"wilhelm: george! george, get a hold of yourself!"
32005,george: mr.wilhelm...
32006,wilhelm: what's the matter with you?!
32007,george: well i-i... (elaine's office - elaine) (she's trying to think of a story for the shoes while she's at the computer)
32008,"elaine: (thinking and typing) it was a cold winter's night in timbuktu... (hits the keyboard) oh! this stinks! (grabs a himalayan walking shoe and starts squeezing it for inspiration) oh, come on... come on...!...god! (quits) (elaine's building - jean-paul, judy with baby)"
32010,jean-paul: i'm a friend of elaine's.
32011,"jean-paul: (looks at the baby) oooooh...look at the cute little bastard... (the building manager comes in) you are mama's little bastard, aren't you? (laughs) (judy goes away angry and jean-paul is surprised by that)"
32012,manager: whatta hell are you doin' harassing my tenants?
32013,"jean-paul: (smiling) oh come on, you son of a bitch. i'm just trying to be friendly."
32014,"manager: all right, that's it! (grabs jean-paul and gets him out) let's go!"
32015,"jean-paul: what...but i got a race tomorrow! (jerry's apartment at night- kramer) (kramer is lying on jerry's sofa, ""fully"" dressed and covered with a blanket. jerry and george come in)"
32016,george: whoa...it's like a furnace in here!
32017,jerry: oh whatta hell is goin'on?!
32018,"kramer: yeah, i turned up the heat."
32019,jerry: turn up the heat in your apartment! (opens a window)
32020,kramer: i'm freezin'! i just need to get my hot tub running. i'm waiting for my new heat pump.
32021,george: well what's in this giant box out in the hall?
32022,kramer: uh? oh that must be it.
32023,george: it's huge!
32024,"kramer: yeah, yeah, i got the biggest one they had. it's industrial strength. 16000 btu's. (kramer leaves. the phone rings and jerry picks it up)"
32025,"jerry: hello?...yeah, i can be there in 10 minutes...you can count on me! (hangs up)"
32026,george: (jerry is going to his bedroom) what?
32027,jerry: i got the call...!
32028,george: jean-paul?
32029,"jerry: (stops walking) jean-paul! (george acts like he scored) (hotel - jerry, jean-paul. sitting in different beds)"
32030,"jerry: pretty lucky to find this hotel, jean-paul."
32031,"jean-paul: man, i just want to get some sleep. (gets into bed)"
32032,jerry: all right. (picks up the alarm clock) let's check out the clock. notch good...
32033,"jean-paul: man, whatever! (annoyed)"
32034,jerry: how about adult contemporary?
32035,"jean-paul: fine, adult contemporary. just pick one! (irritated)"
32036,"jerry: all right...we're going with adult contempo... (puts alarm away, gets phone) now... the failsafe. the wake-up guy... (dials)"
32037,"jean-paul: yes, yes, the wake-up guy."
32038,man: (on the phone) front desk...?
32039,"jerry: yeah, this is room 419, i'd like a wake-up call for 6:50 am tomorrow morning."
32041,jerry: that's room 419. 6:50 am. four...one...niner...
32042,"man: yes, i got it sir. you only had to say it once."
32043,"jerry: i know, but it's a very important wake-up call... and i don't wanna take any chances."
32044,man: every wake-up call i make is important. you're no more important than any of our guests.
32045,"jerry: well, i just...don't wanna get into a whole thing with you here..."
32046,man: are you through? (annoyed)
32047,"jerry: ...yeah i am, but i just...(man hangs-up) (jerry pauses thinking)"
32048,jerry: humm...
32049,jean-paul: what is it...?
32050,jerry: i think i offended the wake-up guy...! (worried)
32052,"jerry: (gets up) no, no, i did. i think he's got it in for me!"
32053,"jean-paul: man, he doesn't got ""in"" for you."
32054,jerry: what if he doesn't call now out of spite?
32055,jean-paul: it is his job! (jerry sits down)
32056,jerry: (pause) not comfortable... (gets up again)
32057,jean-paul: for god's sake...! (gets up and they start packing) (elaine's apartment) (elaine comes in)
32058,elaine: jean-paul? (searching everywhere) hey jean-paul? jean-paul? (worried) jean-paul?! oh man... (calling jerry's) oh...machine.
32059,"elaine: jerry, jerry, jean-paul's missing! he's alone in the city! call me back. (hangs up) (she leaves her apartment and knocks on judy's door)"
32060,"elaine: judy, hi, listen..."
32061,elaine: oh i didn't tell anyone.
32062,elaine: ... jerry! (runs angry to her apartment) (jerry's apartment) (jerry and jean-paul come in)
32063,"jerry: feel much better here at my home base, jean-paul. it's a controlled environment."
32064,"jean-paul: it's a marathon, you know. 26 miles! i need to get some sleep! (lies on the sofa)"
32065,"jerry: hey, believe me, if i'd been with you there in barcelona...you'd be polishing that medal right now. (covers jean-paul with a blanket)"
32066,jean-paul: left a comfortable hotel bedroom for this!
32067,"jerry: that wake-up guy was trouble! all right, i'll be right back. (goes knocking on kramer's) (kramer checks the water temperature and then opens the door)"
32068,jerry: (shouting) man that thing is noisy!
32069,"kramer: (shouting) yeah yeah, we're cracking along pretty good! we're almost up to 80 degrees!"
32070,"jerry: yeah, listen, do me a favor. set your mental alarm for 6:30 and gimme a call."
32071,"kramer: yeah, ok. wait. (concentrates and makes the ""pop!"" sound) done! (jerry stares, confused) (street at night- elaine walking and thinking, very worried) (the following voices are on elaine's mind)"
32072,jerry: he's put his faith in you. he's put his faith in you.
32073,"jean-paul: i trust elaine, she is my friend. i trust elaine, she is my friend."
32074,"jerry: frankly, i'm a little concerned."
32075,"elaine: ohhh, i'm exhausted. i've been on this street a thousand times! it's never looked so strange! the faces...so cold! in the distance, a child is crying. fatherless...a bastard child, perhaps. my back aches...my heart aches...but my feet (stops to look at her feet) ...my feet are resilient! (a big smile grows in her face, as she thinks...) thank god i took off my heels, and put on my... himalayan walking shoes!!! (lifting her arms up in the air, in ecstasy, as she says...) yes! (jerry's apartment) 02 am. jean-paul's sleeping at the sofa) (kramer's apartment) 02 am. kramer snores. the heat pump short circuits and blows the fuses on the entire building) (jerry's apartment)"
32076,"jerry: 4:02? (checks his wristwatch) aaa-aaahhh! eight forty seven jean-paul! wake up! wake uuuuup! (gets out of bedroom, in panic) jean-paul! the electricity went out! wake up! wake up!"
32077,"jean-paul: 8:47!? (jumps out of the sofa) (both running around, getting ready to go)"
32078,"jerry: come on, just put your clothes on! you'll get dressed in the car!"
32079,jean-paul: idiot! i trusted you! (kramer comes in wrapped up in a blanket)
32080,"jerry: kramer, what happened to the building?! the electricity went out!"
32081,"kramer: yeah, the heat pump blew all the fuses!"
32082,jerry: what happened to your mental alarm?!
32083,kramer: i guess i hit the snooze... (jerry runs by kramer and kramer falls down) (new york marathon) (jerry and jean-paul try to get to the starting line through a crowd)
32084,"jerry: make way! i've got-i've got a runner here! get outta the way! make way! make way! make way, it's a contender! (an event guard stops them)"
32085,"guard: hey, hold it!"
32086,"jean-paul: i'm late, man, i'm in the race!"
32088,"jean-paul: thank you jerry, you're a wonderful driver. fantastic route, man!"
32089,"jerry: all right, go, it's a race! come on! (george steinbrenner's office at the yankee stadium) (george comes in)"
32090,"george: you wanted to see me, mr.steinbrenner?"
32091,"steinbrenner: yes, george, come in, come in. george, word up's you've been cracking under the pressure. can't cope, can't stand the heat. spit the bit."
32092,"george: oh no, mr.steinbrenner, i can explain..."
32093,"steinbrenner: oh we all get a little cuckoo sometimes george, i used to be like you. rating personnel 'till they cried, calling managers on the field during a game, threatening to move the team to new jersey, just to upset people. then i found a way to relax. (new york marathon - jerry, elaine, kramer) (they're waiting for the runners to run by. kramer remains ""fully"" dressed and is carrying a thermos with tea)."
32094,"jerry: i'm tellin'you, i never told anyone about that baby. i never even went near your building!"
32095,"elaine: then how did she find out, jerry?!"
32096,jerry: maybe you should check with the rabbi.
32097,kramer: (to elaine) you want some hot tea?
32099,kramer: oh. there's some runners. here they come! (the first runner to appear is jean-paul)
32100,elaine: there's jean-paul! he's up front! he's leading! (jumping) go jean-paul!(starts screaming)
32101,kramer: oh yeah! yeah! come on! (starts howling)
32102,"jerry: come on, let's go jean-paul!"
32103,"elaine: go jean-paaaaaul! (we switch over to jean-paul. we hear him breathing. we hear his heart beating. some people offer him drinks. jean-paul grabs one, kramer's hot tea, and leaves scene. kramer gets very surprised. we then hear jean-paul screaming in pain, and it's not hard to guess why. kramer puts on a ""whatta hell"" look, elaine puts on an ""ouch"" look and jerry puts on his ""it's a shame"" one.) (george and mr.steinbrenner inside a hot tub)"
32104,"steinbrenner: how're you enjoying it, george? melts that tension away, doesn't it? you gotta get that jet on the good spot. oh. oh. uh. uh. yes, that feels good. yes, that's real good. oh yeah, that's where i keep all my tension. right down to that chicken bone. sometimes i get my wife to just stuck her thumb right in there like a screwdriver. ya know, the phillips head, not the flat one. oh god, those flat ones frustrate me. you got it in, but it slips out. you put it in again, slips out again. you a single man, george?"
32105,"george: (bored to death) well, i-i just recently uh..."
32404,kramer: yeah. did the k man do it or did the k man do it? elaine the k man did it!
32493,"jerry: they really got us trained to use that cash machine now, don't they? we're just like chickens in an experiment waiting for that pellet to come down the chute. you see people at the cash machine; they're just there. just, dit dit dit dit dit dit dit, they're waiting for the sound, you know the sound, you're waiting for the sound. that's what we're trained to hear, the 'here comes the money' sound, ya know? flip flip flip flip flip flip flip. it's exciting, don't you get excited? it's coming! it's coming! they're giving me money! (george and susan are in george's apartment)"
32494,"susan: hey, i gotta get some cash, i'm gonna run down to the atm."
32495,"george: yeah, i better grab some too."
32496,susan: i'll get it for you; just give me your card.
32498,"susan: yeah, just tell me your code."
32499,george: my code? (jerry and george are at the coffee shop)
32500,jerry: so why didn't you tell her the code?
32501,george: no. no way.
32502,"jerry: george, you're gonna marry this woman. most likely."
32503,"george: it says very clearly, 'for your protection, do not give your secret code to anyone.'"
32504,jerry: so you're taking relationship advice from chemical bank now?
32505,george: why does everything have to be 'us'? is there no 'me' left? why can't there be some things just for me? is that so selfish?
32506,"jerry: actually, that's the definition of selfish."
32507,george: have you ever given your code to anyone?
32508,jerry: no one's ever asked. you want it? it's 'jor-el.'
32509,george: superman's father on krypton.
32510,"jerry: of course. c'mon georgie, you wanna tell me. it's eating you up inside. sing it, sister."
32511,george: no. i am not giving my code to anyone for any reason.
32512,jerry: what if my life depended on it?
32513,"george: if you're in some situation where some fast cash will save your life, i'll give you the code. jerry stands up and begins limping."
32514,george: what's the matter with your leg?
32515,jerry: my foot fell asleep.
32516,george: how'd your foot fall asleep?
32517,"jerry: i crossed my legs, i forgot to alternate. a friend of george and jerry's walks up to the table."
32519,jerry: hey fred.
32522,"fred: you're lucky, at least you got something to do. elaine walks in."
32523,"jerry: fred, do you know elaine?"
32524,"fred: no, it's nice to meet you. well, i'm outta here, see you guys."
32525,"george: alright, bye."
32526,jerry: seeya.
32527,"elaine: did you hear that? he said, 'nice to meet you.'"
32529,"elaine: so? we've met before. at katie ash's party, we talked for like ten minutes."
32530,jerry: and he didn't remember you? elaine gets up to leave.
32531,"jerry: where are you going, you just got here?"
32532,elaine: i gotta go talk to him. elaine catches up to fred on the street.
32533,"elaine: excuse me, excuse me, fred?"
32535,"elaine: you just said, 'nice to meet you', but actually we've met before."
32536,fred: we have?
32537,"elaine: yeah, at katie ash's party?"
32538,fred: what was your name again?
32539,elaine: elaine. you don't remember our conversation? i talked about how my uncle worked in the book depository building with lee harvey oswald?
32540,fred: not ringing a bell.
32541,"elaine: when my uncle said to him, 'the president's been shot' oswald winked at him and said, 'i'm gonna go catch a movie'?"
32542,"fred: mmm, no."
32543,elaine: that was right when we were in front of the bathroom door.
32544,"fred: the bathroom door. i remember someone had played tic-tac-toe on it, and the x's won; they went diagonally from the top left to the bottom right. jerry's apartment, jerry is on the phone."
32545,"jerry: hey that sounds great, i'd love to do some tv commercials, that should really be fun. kramer enters holding a police scanner."
32546,"jerry: uh huh, okay, alright, bye. huh, how do you like that? i'm gonna do some tv spots for leapin' larry's appliance store. that was leapin' larry himself, i'm gonna meet with him tomorrow."
32547,"kramer: leapin' larry! yeah, that's where i bought this."
32549,"kramer: well, it's an emergency band scanner, it picks up everything: fires, harbor patrol, even the police. i'm watching the watchers, jerry. uh oh, we got a big fire on 115th. i tell ya if could do it over again, i'd give it all up to be a fireman."
32550,"jerry: yeah, those civil servants who risk their lives really got it made."
32551,"kramer: when i was a kid, all i ever dreamed of was steering the back of that big hook and ladder."
32552,jerry: you're lucky they let you drive a car.
32553,"kramer: no no no, they're talking the west side highway, at this time of day that's insane. they're heading straight into gridlock. oh, those fools. kramer runs out, elaine enters."
32555,jerry: (waving his arm in dismissal) eh.
32556,"elaine: alright. so, get a load of this. this guy, fred yerkes, remembers every little thing about that night except me."
32557,"jerry: really? i'm surprised, he doesn't meet that many women."
32559,"jerry: well, what's to be said? he didn't remember you."
32560,"elaine: yeah, but why? i mean, ya know."
32562,elaine: ya know?
32564,"elaine: huh, lookit, you got the new catalog."
32565,"jerry: yeah, you wrote a good piece on the himalayan walking shoe."
32566,"elaine: too good. peterman was so pleased, now he wants to take me out to dinner tomorrow. maybe you wanna come with me."
32567,jerry: why would i wanna do that?
32568,"elaine: oh please, jerry, please please please, i can't sit with him, he tells these stories, it's gonna be awful."
32569,"jerry: yeah, sounds like fun. george and susan are at george's apartment."
32570,"susan: i want you to tell me, george."
32571,george: why? why is my code so important?
32572,"susan: because, it's part of our relationship, it's an indication of trust. we're not supposed to keep secrets from one another."
32573,george: well i'm sure you have secrets from me. i don't know anything about your cycles.
32574,susan: my cycles?
32575,"george: yeah, i never know what's going on there."
32576,susan: well from now on i'll keep you apprised of my cycles.
32579,george: we're out of bosco! jerry and leapin' larry are in the office at the appliance store.
32580,"jerry: howbout this, come one down to leapin' parry's if you can beat our prices, we'll give you the store."
32581,jerry: no i don't.
32582,"jerry: my foot's asleep again! leapin' larry walks out from behind his desk, he has a severe limp,"
32583,jerry: you know what? i'll be with you in a minute. jerry stands and begins to 'walk off' his sleeping foot. a leapin' larry's employee begins laughing.
32584,"jerry: larry, wait, you don't understand! jerry and kramer are in jerry's apartment."
32585,"kramer: i just came from leapin' larry's. making fun of crippled people, is that what you've sunk to?"
32586,"jerry: i didn't do it on purpose, my foot fell asleep."
32587,"kramer: oh, oh your foot fell asleep."
32588,"jerry: ya know, the guy has one leg and he still calls himself leapin' larry, you'd think he had a sense of humor about it."
32589,"kramer: well, you just joked yourself right out of that commercial, didn't you, munjamba? jerry's door buzzer rings, jerry presses the button."
32591,voice: hup. a news bulletin is shown on the tv.
32592,"kramer: boy, look at that. se that's that fire i was listening to yesterday."
32593,"jerry: wow, the whole building burned down."
32594,kramer: they just don't know what street to take. you remember that time i got us to yankee stadium in rush hour in fifteen minutes?
32596,"kramer: it's all up here, jerry. all up here. it's innate."
32597,"jerry: the amazing thing is you never have any place to go. kramer leaves, george enters."
32598,george: where we gonna eat?
32599,jerry: we're gonna meet elaine and peterman at the chinese place.
32600,george: peterman? nobody mentioned anything about peterman.
32601,"jerry: of course not, if i did would you have gone?"
32604,"george: i don't even know peterman. how the hell am i gonna relax? i'm gonna have to be on all night. i don't like being on, jerry, i would much rather be off."
32605,"jerry: trust me, you're off. elaine bumps into fred on the street."
32606,"elaine: oh, hi fred."
32607,"fred: um, hello?"
32609,"fred: oh yeah, yeah, right."
32611,"fred: i'm depressed. i got this new shirt, the button fell off. once the button falls off, that's it. i'll never fix it."
32612,"elaine: yeah, that's too bad."
32613,"fred: yeah, i'm gonna get some vitamins, i feel depleted."
32614,elaine: hmm. i never take them.
32615,"fred: cause they make you nauseous, right?"
32616,"elaine: yeah! yeah, that's right, you remembered!"
32617,fred: do you wanna have dinner tonight?
32618,elaine: hmm. tonight.
32619,"fred: what, you have other plans?"
32620,"elaine: no, no no no, none that i can, um, remember. jerry and george enter a chinese restaurant, we pick them up in mid-conversation."
32621,"jerry: ...alright, you're locked up in a prison in turkey, i have your wallet. the only way i can bribe the guards to get you out is for you to give me your atm code."
32622,george: call the embassy.
32623,jerry: they're closed.
32625,jerry: bomb threat.
32626,george: we're in turkey?
32627,"jerry: midnight express, my friend."
32628,george: my card won't work there; they're not on the plus system. mr. peterman walks in.
32629,peterman: you must be jerry seinfeld.
32630,"jerry: yes, hi, mr. peterman. this is, uh, george costanza."
32631,peterman: j. peterman.
32632,george: j. crew.
32633,"jerry: well, is elaine here?"
32634,"peterman: oh, elaine just called, she won't be joining us. not to worry, i'll tell the maitre'd it'll just be the three bulls."
32635,george: what's going on? he still wants to have dinner with us?
32636,jerry: without elaine? what for?
32637,"george: what, is he crazy?"
32638,"jerry: we gotta get out of here. come on; weave your web, liar man."
32639,"george: i've got nothing, i-i-i-i'm blank."
32640,"jerry: george, what's the matter with you?"
32641,george: i'm choking!
32642,"peterman: ah, fong has been most accommodating. shall we?"
32643,"jerry: actually, you know i just remembered i promised this comedy club that i'd do a set tonight, so, terribly sorry."
32644,"peterman: i understand, no hard feelings. george and i will miss your company. fong? it will just be two this evening. george, we dine. elaine is waiting on the street."
32645,"elaine: i can't believe this, is this guy standing me up? george and peterman are eating dinner. peterman is in mid-story. george is disinterested."
32646,"peterman: ...and there, tucked into the river's bend was the object of my search. the gwon-jaya river market, fabrics and spices traded under a starlit sky. it was there that i discovered the pamplona beret. sizes seven-and-a-half through eight-and-three-quarters. price? thirty-five dollars."
32647,"george: howbout sports? do you follow sports? jerry's apartment, jerry has his feet up and a big bowl of popcorn beside him on the couch."
32648,"george: you know, this is very nice, but i really could take a cab. really."
32649,"peterman: ha ha, nonsense, george. besides it gives me a chance to tell you about my latest trip to burma where i discovered a very unusual corduroy. the car phone rings, peterman answers."
32650,"peterman: peterman here. what? oh no. alright, i'll be right there. (to george) it's my mother; she's at death's door. i just pray to god we can make it there in time. peterman makes a quick u-turn, pushing george's face into the passenger side window. elaine is on the phone with jerry."
32651,jerry: i can't believe you blew us off; we were doing you the favor.
32652,"elaine: well, fred asked me out."
32653,jerry: fred?
32654,"elaine: yeah, and then he stood me up. i don't get this guy."
32655,jerry: you see what's going on here? you're attracted to him because he can't remember anything about you.
32656,elaine: i am? but that's so sick.
32657,jerry: that's god's plan. he doesn't really want anyone to get together.
32658,"elaine: anyway, so how was the dinner?"
32659,"jerry: well, when i heard you weren't coming i made up and excuse and got the hell out of there."
32660,elaine: what about georgie?
32661,"jerry: nah, he didn't make it. peterman's mother's house. she's in bed; peterman is consulting with the doctor."
32662,"peterman: doctor, how is she?"
32663,doctor: she's too weak to talk but she'll be happy to hear your voice.
32664,"peterman: mama, it's me. jacopo. i'm here for you, mama. she looks off in george's direction."
32665,"george: i'm, uh, george costanza. i was having dinner with your son. peterman's mother's apartment. george is sleeping in a chair with a coat covering him. peterman wakes him up."
32666,"peterman: shake off the dew, my friend."
32667,george: yeah. what time is it?
32668,"peterman: it's morning. thanks for seeing me through the night. i'll make us a pot of coffee, george. watch her, won't you?"
32670,"peterman: momma. just talk to her, george. the doctor seems to think it helps. peterman leaves, george attempts conversation."
32671,"george: hi. i-i really should be getting back to my fiancé, you know, we, uh, we had this big fight yesterday and, uh, well she, she wants to-to know my secret code. i-i don't know, i can't tell her. the funny thing is, you know, i would really love to tell someone 'cause it's killing me. you uh, you wanna know what it is? it's bosco. you know, the chocolate syrup? i love that stuff, i pour it in milk, it's my favorite drink. hoo-hoo, boy, that is a relief!"
32672,"george: oh, shhh."
32673,"peterman: momma? george"" quiet, quiet! it's a secret."
32674,george: shut up! shut up! peterman runs in.
32675,peterman: momma! what are you trying to say?
32676,"peterman: she's gone. bosco? peterman looks at george, who shrugs. george and jerry are in jerry's apartment."
32677,george: you know this whole thing never would have happened if you hadn't bailed out on me at the restaurant.
32678,jerry: i did not bail out on you.
32679,george: well why couldn't you include me in your excuse?
32680,jerry: why didn't you come up with your own?
32681,george: i froze. i think i'm losing it.
32682,"jerry: ah, c'mon. maybe you're just in a slump?"
32683,"george: no, no. i reached down and there was *nothing* there. kramer enters."
32684,george: now peterman wants me to go to the funeral.
32685,"jerry: oh, come on, just tell me your code already. what is it?"
32686,george: i am not giving you my code.
32687,kramer: i'll bet i can guess it.
32688,george: pssh. yeah. right.
32689,"kramer: oh, alright. yeah. uh, let's see. um, well, we can throw out birthdays immediately. that's too obvious. and no numbers for you, you're a word man. alright, let's go deeper. uh, what kind of man are you? well, you're weak, spineless, a man of temptations, but what tempts you?"
32691,"kramer: you're a portly fellow, a bit long in the waistband. so what's your pleasure? is it the salty snacks you crave? no no no no no, yours is a sweet tooth."
32693,"kramer: oh you may stray, but you'll always return to your dark master, the cocoa bean."
32695,"kramer: no, and only the purest syrup nectar can satisfy you!"
32697,kramer: if you could you'd guzzle it by the gallon! ovaltine! hershey's!
32699,kramer: nestlé's quik!
32700,george: shut up! elaine and george are at the funeral.
32703,george: you just checked your watch. are you thinking of bailing on him?
32704,elaine: i got a date. mr. peterman walks up.
32705,"elaine: oh, mr. peterman."
32706,"peterman: oh, elaine. george, when momma said 'bosco' she must have been trying to communicate something, a legacy, a dying wish perhaps."
32707,george: mothers say things. my mother goes babbling on and on like a crazy person.
32708,"elaine: mr. peterman, you have my deepest sympathies. unfortunately, i've gotta get going."
32710,"george: uh, yes, actually we-we both do."
32711,elaine: i have a personal commitment.
32712,"george: well, personal, i mean, we both uh..."
32714,elaine: i'm speaking at a women's' rights conference.
32715,"george: yes, and i'm speaking at a men's' conference."
32716,"peterman: i don't believe that for a minute. well, elaine, it was good of you to stop by."
32717,elaine: my pleasure.
32718,"peterman: fortunately, i still have george here to help me through this. elaine leaves."
32719,"peterman: you know george, growing up as a boy in costa rica, i heard a rumor that momma had taken a lover. perhaps bosco was this man's name. kramer busts in to jerry's apartment, jerry is putting on a jacket."
32720,"kramer: hey, you wanna come down the fire station with me?"
32721,jerry: fire station?
32722,"kramer: yeah, i made a map of my shortcuts. i'm gonna rock their world!"
32723,"jerry: nah, i gotta go down to leapin' larry's."
32724,"kramer: oh, so he took you back."
32725,"jerry: yeah, we straightened it out, all is forgiven."
32726,"kramer: well, you know the important thing is that you learned something."
32727,"jerry: no i didn't. kramer is at the fire station, talking with the captain."
32728,"captain: well, mr. kramer, your list of short cuts is most impressive."
32729,"kramer: yeah, and this is just the upper west side. wait until i get to the village, then you're gonna see a magic show."
32730,"captain: mr. kramer, just about every week some brash young hothead like yourself saunters in here talking about faster routes and snazzier colors for the trucks, well, fact is we feel things are fine the way they are. jerry is back at leapin' larry's."
32731,"jerry: anyway, thanks for having me back, and sorry about the misunderstanding."
32732,jerry: oh sure. jerry stands up to find his leg is asleep.
32733,"jerry: uh, again? (limping towards the door) i'll be right there. jerry stomps his foot on the floor a few times before he leaves, he accidentally bumps a paint can which knocks over a can of flammable liquid which spills onto some exposed electrical wires causing a fire. back at the fire station, the alarm is ringing."
32734,"kramer: leapin' larry's? hey, that's uptown. you gotta take amsterdam."
32735,"captain: stay out of this, kramer. kramer sees the firemen slide down the pole and he gives it a try. as he lands he bumps one of the firemen into the truck, then to the floor in a daze."
32736,"kramer: are you ok, cowboy? where do you need to go?"
32737,"kramer: well, you'd better take it easy. kramer grabs a coat and helmet and heads towards the back of the truck. elaine and fred are having dinner."
32738,"fred: sorry about the other night but my mother called, she couldn't find her pills. i had to go into brooklyn to help her find her pills, and they were right there in the medicine cabinet. could you believe that?"
32740,fred: the worst part is getting from the subway station to the house. there's no transportation...
32741,"elaine: what am i doing? i'm on a date with this guy because he didn't remember me? he's demented, listen to him..."
32742,"fred: ...i could have taken a cab but if my mother saw me pull up in a cab, she'd start yelling at me, ""freddy! what are taking a cab for? it's so expensive!"" she's out of her mind. eventually, you'll meet her. george and peterman are sitting beside the casket."
32743,"peterman: bosco. bosco. bosco. there's a big fire down the street, the whole block is going up in flames! peterman gets up and runs towards the door, he stops and looks back. george is still sitting on the couch, looking up and shaking his head."
32744,peterman: george! inside the speeding fire engine.
32745,captain: gonna make a left onto broadway.
32746,"kramer: no, i would advise against that."
32747,captain: who is this? quick cut to kramer driving the back of the fire truck.
32748,kramer: it's kramer!
32749,captain: kramer?! what the hell are you doing back there?
32750,"kramer: desoto's down, but cosmo's got the caboose. outside leapin' larry's. jerry is helping bring out appliances as smoke pours from the building. a woman approaches jerry."
32751,woman: how did this start?
32752,jerry: beats me.
32753,"captain: kramer, get the hell off of there. you're not trained to operate this equipment!"
32754,kramer: hey! cut back to leapin' larry's.
32755,"captain: what are you doing, kramer?! you're all over the road!"
32756,"kramer: don't worry, cap, i can handle it!"
32757,jerry: kramer? cut to kramer losing control of the truck.
32758,"captain: you're losing control! hard right! hard right! cut to jerry holding the scanner. he hears screaming, a crashing sound, and then static."
32759,"jerry: ah, that's a shame. george and peterman lead a group of people down a smoke filled block."
32760,peterman: the fire will eat up this entire block! they come upon an atm vestibule.
32761,"peterman: look, there's a man in there. get out of there, you're in danger!"
32762,"man: but my sleeve, it's stuck in the machine, it ate my card!"
32763,"peterman: george, give me your atm card!"
32764,george: i don't have my atm card.
32765,"peterman: george, you're obviously lying, anyone can see that! george pulls out his wallet, peterman grabs the card, fits it into the slot and tries the door."
32766,"peterman: it's jammed! i'll slide it under the door, the man grabs the card and slams it into the machine."
32767,man: now give me your code!
32768,george: what?! why?
32769,man: the machine won't open without the code!
32770,"peterman: george, give him your code!"
32771,george: but i-i-i-
32772,"peterman: george, there's no time! tell him your code! shout out your code, man!!"
32773,"man: the code!! the code!! george and jerry are watching tv at george's, susan walks in and drops some mail on the coffee table."
32774,"susan: hi. here's your cash, george."
32775,george: hm. thanks.
32776,susan: and here's your card back. anyone for bosco?
32777,jerry: oh my god. look at this.
32778,george: hm?
32779,george: let me ask you a question. who would win in a fight between you and me?
32780,"jerry: well, what do you mean?"
32781,"george: well if you and i ever got into, like a really serious fight you know, and the punches started flying -- who do you think would win?"
32782,jerry: well i think that's pretty obvious.
32783,george: yeah. me too. (elaine enters carrying a cup of coffee)
32784,jerry: hey elaine.
32786,"jerry: who, who, who do you think would win in a fight between me and ah, gorgeous george here (pointing up and down at george)"
32787,elaine: you mean in a real fight fight?
32788,jerry: mona a baldo.
32790,george: ah-ha! (he turns and walks over to the refrigerator)
32792,elaine: george fights dirty. (she sips her coffee)
32793,jerry: really? what would you do?
32794,"george: pull hair, poke eyes, groin stuff. whatever i gotta do. (he opens a blue bottled beverage)"
32796,"elaine: so. listen ... you're not doing anything tomorrow, are you? because i have an extra ticket to the historical clothing exhibit at the met."
32799,george: would i want to see what mary todd wore to lincoln's funeral?
32800,elaine: there's nobody i can go with. (kramer enters)
32801,elaine: you know what. i don't have one female friend left.
32802,"kramer: oh, no, of course you don't. you're a man's woman. you hate other women, and they hate you."
32804,"kramer: so jerry, (smacks hands and rubs palms together) what time we going to the movies?"
